"Proteina","log(kon)","Experimento","Tipo"
"Mt-O",5.04139,1.10E+05,"Truncadas"
"Mt-O-YCD1F",6.43136,2.70E+06,"Truncadas"
"Mt-O-WG8F",7.10380,1.27E+07,"Truncadas"
"Mt-O-WG8F-YCD1F",7.35984,2.29E+07,"Truncadas"
"Ml-O",5.04139,1.10E+05,"Truncadas"
"Tf-O",5.95424,9.00E+05,"Truncadas"
"Tf-O-WG8F",6.53148,3.40E+06,"Truncadas"
"Tf-O-WG8F-YB10F-YCD1F",6.57864,3.79E+06,"Truncadas"
"Ph-O",5.95424,9.00E+05,"Truncadas"
"At-O",5.30103,2.00E+05,"Truncadas"
"Bs-O",7.47712,3.00E+07,"Truncadas"
"Gs-O",7.88366,7.65E+07,"Truncadas"
"Cj-P",5.95904,9.10E+05,"Truncadas"
"Cj-P-YB10F",5.07918,1.20E+05,"Truncadas"
"Cj-P-YB10F-HE7L",7.62325,4.20E+07,"Truncadas"
"Syn-trHb ",8.38021,2.40E+08,"Truncadas"
"Mt-N",7.39794,2.50E+07,"Truncadas"
"Mt-N-YB10F",7.73239,5.40E+07,"Truncadas"
"Mt-N-YB10L",8.79323,6.21E+08,"Truncadas"
"Mt-N-QE11V",7.51322,3.26E+07,"Truncadas"
"Mt-N-QE11A",7.57403,3.75E+07,"Truncadas"
"Mt-N-YB10L-QE11V",9.25811,1.81E+09,"Truncadas"
"Ce-N",6.00000,1.00E+06,"Truncadas"
"Pc-N",7.47712,3.00E+07,"Truncadas"
"Mb",7.20412,1.60E+07,"Globinas"
"Mb-HE7G",8.18469,1.53E+08,"Globinas"
"Mb-HE7F",7.87506,7.50E+07,"Globinas"
"CerHb",8.38021,2.40E+08,"Globinas"
"Lba",8.11394,1.30E+08,"Globinas"
"MaPgb",6.47712,3.00E+06,"Globinas"
"AscHb",6.17609,1.50E+06,"Globinas"
